OrderID	OrderType	Status	Symbol	Time	Comment	Volume	Price	TakeProfit	StopLoss	Profit	Swap	Commission	Balance	Equity	Margin	FreeMargin
272	sell	CLOSE	USDCHF	12:01:2018 15:29:31	CSV Order #136 - CLOSED	0.1	0.9703	0.0	0.0	9.96	0.0	-0.35000000000000003	9814.45	9814.45	0.0	9814.45
274	sell	OPEN	USDCHF	12:01:2018 16:00:00	CSV Order #137	0.1	0.97251	0.97151	0.9730099999999999	0.0	0.0	0.0	9814.45	9814.24	100.0	9714.24
274	sell	CLOSE	USDCHF	12:01:2018 16:00:43	CSV Order #137 - CLOSED	0.1	0.97301	0.0	0.0	-5.489999999999999	0.0	-0.35000000000000003	9809.31	9809.31	0.0	9809.31
276	sell	OPEN	USDCHF	12:01:2018 17:00:00	CSV Order #138	0.1	0.97199	0.97099	0.97249	0.0	0.0	0.0	9809.31	9809.0	100.0	9709.0
276	sell	CLOSE	USDCHF	12:01:2018 17:28:16	CSV Order #138 - CLOSED	0.1	0.97249	0.0	0.0	-5.489999999999999	0.0	-0.35000000000000003	9804.17	9804.17	0.0	9804.17
278	sell	OPEN	USDCHF	12:01:2018 18:00:00	CSV Order #139	0.1	0.9715	0.9705	0.972	0.0	0.0	0.0	9804.17	9804.07	100.0	9704.07
278	sell	CLOSE	USDCHF	12:01:2018 18:33:03	CSV Order #139 - CLOSED	0.1	0.972	0.0	0.0	-5.489999999999999	0.0	-0.35000000000000003	9799.03	9799.03	0.0	9799.03
280	sell	OPEN	USDCHF	12:01:2018 19:00:00	CSV Order #140	0.1	0.97129	0.97029	0.9717899999999999	0.0	0.0	0.0	9799.03	9798.72	100.0	9698.72
281	sell	OPEN	USDCHF	12:01:2018 20:00:00	CSV Order #141	0.1	0.97148	0.97048	0.97198	0.0	0.0	0.0	9799.03	9796.87	200.0	9596.87
281	sell	CLOSE	USDCHF	12:01:2018 20:25:37	CSV Order #141 - CLOSED	0.1	0.97048	0.0	0.0	9.950000000000001	0.0	-0.35000000000000003	9809.33	9817.68	100.0	9717.68
280	sell	CLOSE	USDCHF	12:01:2018 20:31:27	CSV Order #140 - CLOSED	0.1	0.97029	0.0	0.0	9.96	0.0	-0.35000000000000003	9819.64	9819.64	0.0	9819.64
284	sell	OPEN	USDCHF	12:01:2018 21:00:00	CSV Order #142	0.1	0.96942	0.96842	0.9699199999999999	0.0	0.0	0.0	9819.64	9819.43	100.0	9719.43
284	sell	CLOSE	USDCHF	12:01:2018 21:31:40	CSV Order #142 - CLOSED	0.1	0.96842	0.0	0.0	9.98	0.0	-0.35000000000000003	9829.97	9829.97	0.0	9829.97
286	sell	OPEN	USDCHF	12:01:2018 22:00:00	CSV Order #143	0.1	0.96867	0.96767	0.96917	0.0	0.0	0.0	9829.97	9829.87	100.0	9729.87
0	SYSTEM	AUTO_CLOSE	USDCHF	12:01:2018 23:00:00	Auto-closed 1 positions at 23:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9835.55	9835.55	0.0	9835.55
286	sell	CLOSE	USDCHF	12:01:2018 23:00:00	CSV Order #143 - CLOSED	0.1	0.96813	0.0	0.0	5.23	0.0	-0.35000000000000003	9835.55	9835.55	0.0	9835.55
288	sell	OPEN	USDCHF	12:01:2018 23:00:00	CSV Order #144	0.1	0.96811	0.96711	0.96861	0.0	0.0	0.0	9835.55	9835.34	100.0	9735.34
288	sell	CLOSE	USDCHF	12:01:2018 23:05:22	CSV Order #144 - CLOSED	0.1	0.96711	0.0	0.0	9.99	0.0	-0.35000000000000003	9845.89	9845.89	0.0	9845.89
290	sell	OPEN	USDCHF	15:01:2018 08:00:00	CSV Order #145	0.1	0.96652	0.96552	0.96702	0.0	0.0	0.0	9845.89	9845.37	100.0	9745.37
291	sell	OPEN	USDCHF	15:01:2018 09:00:00	CSV Order #146	0.1	0.96683	0.96583	0.9673299999999999	0.0	0.0	0.0	9845.89	9841.86	200.0	9641.86
290	sell	CLOSE	USDCHF	15:01:2018 09:01:27	CSV Order #145 - CLOSED	0.1	0.96702	0.0	0.0	-5.52	0.0	-0.35000000000000003	9840.72	9838.76	100.0	9738.76
291	sell	CLOSE	USDCHF	15:01:2018 09:39:32	CSV Order #146 - CLOSED	0.1	0.96736	0.0	0.0	-5.83	0.0	-0.35000000000000003	9835.24	9835.24	0.0	9835.24
294	sell	OPEN	USDCHF	15:01:2018 10:00:00	CSV Order #147	0.1	0.96649	0.96549	0.9669899999999999	0.0	0.0	0.0	9835.24	9835.03	100.0	9735.03
294	sell	CLOSE	USDCHF	15:01:2018 10:07:41	CSV Order #147 - CLOSED	0.1	0.96548	0.0	0.0	10.110000000000001	0.0	-0.35000000000000003	9845.7	9845.7	0.0	9845.7
296	sell	OPEN	USDCHF	15:01:2018 11:00:00	CSV Order #148	0.1	0.96452	0.96352	0.96502	0.0	0.0	0.0	9845.7	9845.29	100.0	9745.29
296	sell	CLOSE	USDCHF	15:01:2018 11:13:40	CSV Order #148 - CLOSED	0.1	0.96352	0.0	0.0	10.030000000000001	0.0	-0.35000000000000003	9856.08	9856.08	0.0	9856.08
298	sell	OPEN	USDCHF	15:01:2018 12:00:00	CSV Order #149	0.1	0.96243	0.96143	0.96293	0.0	0.0	0.0	9856.08	9855.98	100.0	9755.98
298	sell	CLOSE	USDCHF	15:01:2018 12:20:41	CSV Order #149 - CLOSED	0.1	0.9614	0.0	0.0	10.360000000000001	0.0	-0.35000000000000003	9866.79	9866.79	0.0	9866.79
300	sell	OPEN	USDCHF	15:01:2018 13:00:00	CSV Order #150	0.1	0.96179	0.96079	0.96229	0.0	0.0	0.0	9866.79	9866.37	100.0	9766.37
300	sell	CLOSE	USDCHF	15:01:2018 13:47:41	CSV Order #150 - CLOSED	0.1	0.96234	0.0	0.0	-6.069999999999999	0.0	-0.35000000000000003	9861.07	9861.07	0.0	9861.07
302	sell	OPEN	USDCHF	15:01:2018 14:00:00	CSV Order #151	0.1	0.96198	0.96098	0.9624799999999999	0.0	0.0	0.0	9861.07	9860.86	100.0	9760.86
302	sell	CLOSE	USDCHF	15:01:2018 14:29:40	CSV Order #151 - CLOSED	0.1	0.96249	0.0	0.0	-5.6499999999999995	0.0	-0.35000000000000003	9855.77	9855.77	0.0	9855.77
304	sell	OPEN	USDCHF	15:01:2018 15:00:00	CSV Order #152	0.1	0.9609	0.9599	0.9613999999999999	0.0	0.0	0.0	9855.77	9855.46	100.0	9755.46
304	sell	CLOSE	USDCHF	15:01:2018 15:34:37	CSV Order #152 - CLOSED	0.1	0.96141	0.0	0.0	-5.6499999999999995	0.0	-0.35000000000000003	9850.47	9850.47	0.0	9850.47
306	sell	OPEN	USDCHF	15:01:2018 16:00:00	CSV Order #153	0.1	0.96046	0.95946	0.9609599999999999	0.0	0.0	0.0	9850.47	9850.37	100.0	9750.37
306	sell	CLOSE	USDCHF	15:01:2018 16:33:16	CSV Order #153 - CLOSED	0.1	0.96098	0.0	0.0	-5.76	0.0	-0.35000000000000003	9845.06	9845.06	0.0	9845.06
308	sell	OPEN	USDCHF	15:01:2018 17:00:00	CSV Order #154	0.1	0.96173	0.96073	0.9622299999999999	0.0	0.0	0.0	9845.06	9844.96	100.0	9744.96
308	sell	CLOSE	USDCHF	15:01:2018 17:12:59	CSV Order #154 - CLOSED	0.1	0.96224	0.0	0.0	-5.6499999999999995	0.0	-0.35000000000000003	9839.76	9839.76	0.0	9839.76
310	sell	OPEN	USDCHF	15:01:2018 18:00:00	CSV Order #155	0.1	0.96331	0.96231	0.96381	0.0	0.0	0.0	9839.76	9839.66	100.0	9739.66
310	sell	CLOSE	USDCHF	15:01:2018 18:01:38	CSV Order #155 - CLOSED	0.1	0.96381	0.0	0.0	-5.54	0.0	-0.35000000000000003	9834.57	9834.57	0.0	9834.57
312	sell	OPEN	USDCHF	15:01:2018 19:00:00	CSV Order #156	0.1	0.96311	0.96211	0.96361	0.0	0.0	0.0	9834.57	9834.15	100.0	9734.15
312	sell	CLOSE	USDCHF	15:01:2018 19:56:42	CSV Order #156 - CLOSED	0.1	0.96209	0.0	0.0	10.25	0.0	-0.35000000000000003	9845.17	9845.17	0.0	9845.17
